Description,Comment,Designator,Footprint,LibRef,Quantity,
,,,,,,
,ADS8332,ADC1,TSSOP-24_L7.8-W4.4-P0.65-LS6.4-BL,ADS8332,1,bodandun
,SMA,ANT1,ANT-TH_DOSIN-806-0003,SMA,1,rysim
,BC35-G,BC?,BC35-G,BC35-G,1,yiyuan
Polarized Capacitor (Radial),Cap Chip 1206,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C42, C43",CC3216-1206,Cap Chip 1206,12,risym
Capacitor (Semiconductor SIM Model),,"C11, C12, C13, C14, C15, C16, C23, C24, C25, C26, C34, C35, C36, C37, C38, C39, C40, C44",C1206,Cap Semi,18,risym
1206贴片电容,33p,"C17, C18, C19",1206_C,Cap_1206,3,risym
1206贴片电容,0.1u,C20,1206_C,Cap_1206,1,risym
1206贴片电容,2.2uF,C21,1206_C,Cap_1206,1,risym
,1uF,"C27, C28, C29, C31",CAP-SMD_L3.2-W1.6-RD,CAP_TAN3216,4,risym
,10uF,C30,CAP-SMD_L3.2-W1.6-RD,CAP_TAN3216,1,risym
1206贴片电容,NC,"C32, C33",1206_C,Cap_1206,2,ok
二极管,1N4148WS,D1,SOD-323,1N4148WS_SOD-323,1,risym
,SMAJ12CA,"D2, D10, D11, D12, D13, D14, D15, D16, D17",SMB_L4.6-W3.6-LS5.3-BI,SMBJ-XXCA,9,risym
二极管,IN5819,D3,SOD-323,1N4148WS_SOD-323,1,risym
,HLK-1D1205,DC-DC1,PWRM-TH_HLK-1DXXXX,HLK-1D12XX,1,youxin
,MAX232ESE,IC3,SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL,MAX232ESE,1,risym
Low Voltage Power Supply Connector,PWR2.5,J1,接插件_DC端口,PWR2.5,1,risym
"Receptacle Assembly, 9 Position, Right Angle",D Connector 9,J_RS232,DB9_Female,D Connector 9,1,risym
Button,Button,"K1, K2, KRST",BUTTON-DIP,Button,3,ok
Typical Chip LED,LED Chip,"LED_NB, LED_PC13",CLED2012-0805,LED Chip,2,ok
超低功耗高性能ARM Cortex-M4 32-bit MCU+FPU 80MHz 100DMIPS,STM32L433Rx,MCU1,LQFP64,STM32L433Rx,1,ok
"Header, 2-Pin",Header 2,"NB_DBG, UART1",XH254-2,Header 2,2,ok
,A2541WV-4P,OLED_PIN,HDR-TH_4P-P2.54-V,A2541WV-4P,1,ok
,OPA4277UA,"OPA1, OPA2",SOP-14_L8.6-W3.9-P1.27-LS6.0-BL,OPA4277UA,2,dianziyuanqijian
,OPA320,"OPA3, OPA4",SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,OPA320,2,aixinheng
"Header, 4-Pin",Header 4,P2,HDR1X4,Header 4,1,ok
,KF2EDG3.81-12,"P4, P5",CONN-TH_12P-P3.81_KF2EDGV-3.81-12P,KF2EDG3.81-12,2,ok
"Header, 4-Pin, Dual row",Header 4X2_SMT,P6,HDR2X4 - SMT,Header 4X2_SMT,1,ok
Resistor,Resistor Chip 0805,"R1, R2, R3, R4, R5, R6, R21",CR2012-0805,Resistor Chip 0805,7,ok
0805贴片电阻,22,"R7, R8, R13, R112, R152",0805_R,Res_0805,5,ok
0805贴片电阻,0R,R9,0805_R,Res_0805,1,ok
0805贴片电阻,20k,R10,0805_R,Res_0805,1,ok
0805贴片电阻,1k,"R11, R23, R25, R103, R113, R123, R133, R143, R153, R163, R173",0805_R,Res_0805,11,ok
0805贴片电阻,2.2k,R12,0805_R,Res_0805,1,ok
0805贴片电阻,0.22,"R24, R26",0805_R,Res_0805,2,ok
0805贴片电阻,500,"R100, R101, R102, R104, R110, R111, R114, R120, R121, R122, R124, R130, R131, R132, R134, R140, R141, R142, R144, R150, R151, R154, R160, R161, R162, R164, R170, R171, R172, R174",0805_R,Res_0805,30,ok
,SIM_Micro,SIM1,SIM-SMD_SIM-002-P6,SIM_Micro,1,risym
Fuse,F1,SMD 0.2A,C1206,Fuse 1,1,risym
,DTC043ZEBTL,"T1, T2, T4",SOT-416_L1.6-W0.8-P1.00-LS1.6-BR,DTC043ZEBTL,3,yanmuzhu
Test-Point,Test-Point,"TP2, V-",TP,Test-Point,2,ok
,SRV05-4_C782797,TVS1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,SRV05-4_C782797,1,telesky
,AMS1117-5.0,U2,SOT-223_L6.7-W3.5-P2.30-BR,AMS1117-ADJ,1,ok
,AMS1117-3.3,U3,SOT-223_L6.7-W3.5-P2.30-BR,AMS1117-ADJ,1,ok
,LTC6655MS8-2.5,UREF1,MSOP-8_L3.0-W3.0-P0.65-LS4.9-BL,LTC6655MS8-5,1,ok
4脚无源晶振,8M,X1,OSC 3225-4P,XTAL-4P,1,risym
XTAL,36.768K,X2,3215,XTAL_FC135,1,risym
